id_peserta,nama,jenis_kelamin,tanggal_lahir,kode_unit,unit_kerja,kota,no_hp,email,tanggal_daftar,status_kehadiran,nilai_pretest,nilai_posttest
P0009,oki santoso,L,,UK06,Sekretariat Jenderal,Jakarta,08901987737,oki.santoso@bela-negara.go.id,2025-02-17,Hadir,71,77
P0058,Wahyu Santoso,p,20-05-1981,UK07,balai diklat bela negara wilayah iii,Makassar,08839512969,wahyu.santoso@bela-negara.go.id,12/02/2025,Hadir,57,71
P0036,gunawan kusuma,L,,UK03,Balai Diklat Bela Negara Wilayah II,Surabaya,08678883823,gunawan.kusuma@bela-negara.go.id,2025-08-03,Hadir,52,79
P0129,budi handayani,L,26-04-1987,UK08,Pusat Data dan Informasi,Jakarta,08888183451,budi.handayani@bela-negara.go.id,2025-04-26,hadir,62,96
P0020,Rian Santoso,l,14/12/1981,UK04,kanwil sumatera,Medan,08784305700,rian.santoso@bela-negara.go.id,20/06/2025,HADIR,47,66
P0052,Zainal Lestari,p,09/07/1999,UK02,BALAI DIKLAT BELA NEGARA WILAYAH I ,Bandung,08378438733,zainal.lestari@bela-negara.go.id,18/06/2025,Hadir,65,82
P0099,Hesti Setiawan,Perempuan,14 Juni 1999,UK03,Balai diklat Wilayah 2,Surabaya,08954664338,hesti.setiawan@bela-negara.go.id,17/02/2025,hadir,63,67
P0002,Ahmad Nugroho,Laki-laki,04/06/1986,UK05,Kantor Wilayah Bela Negara Kalimantan,Balikpapan,08556770619,ahmad.nugroho@bela-negara.go.id,04/09/2025,Hadir,75,84
P0033,Oki Rahayu,P,1990-02-24,UK02,balai diklat bela negara wilayah 1,Bandung,08715638893,oki.rahayu@bela-negara.go.id,2025-05-04,Hadir,54,77
P0031,hesti pratama,Perempuan,22 Oktober 1998,UK04,kanwil sumatera,Medan,08736452832,hesti.pratama@bela-negara.go.id,09/06/2025,hadir,40,73
P0119,maya permata,p,13-06-1987,UK08,PUSAT DATA DAN INFORMASI,Jakarta,08607123944,maya.permata@bela-negara.go.id,2025-09-06,HADIR,69,82
P0089,lukman lestari,l,1981-01-02,UK07,balai diklat bela negara wilayah iii,Makassar,08709712957,lukman.lestari@bela-negara.go.id,20/06/2025,Hadir,65,84
P0035,tono wijaya,l,18 Februari 1987,UK05,Kantor Wilayah Bela Negara Kalimantan,Balikpapan,08894786401,tono.wijaya@bela-negara.go.id,28/05/2025,Hadir,43,49
P0028,Lukman Setiawan,p,27/04/1987,UK01,Direktorat Bina Potensi Bela Negara,Jakarta,08403117636,lukman.setiawan@bela-negara.go.id,23/08/2025,,63,73
P0130,Sari Nugroho,p,28/05/1998,UK05,Kanwil Kalimantan ,Balikpapan,08621994652,sari.nugroho@bela-negara.go.id,2025-03-08,HADIR,60,75
P0106,Hesti Hidayat,P,1997-07-14,UK08,Pusat Data dan Informasi,Jakarta,08424411424,hesti.hidayat@bela-negara.go.id,2025-06-03,Hadir,57,81
P0101,Tono Wijaya,p,09/07/1980,UK05,kantor wilayah bela negara kalimantan,Balikpapan,+628842225232,,03/01/2025,Hadir,58,84
P0059,Endah Wulandari,l,09-03-1980,UK01,Dit. Bina Potensi Bela Negara,Jakarta,08541102438,endah.wulandari@bela-negara.go.id,2025-02-05,Hadir,73,79
P0107,Umar Wijaya,P,10/06/1986,UK04,kanwil sumatera,Medan,08342968239,umar.wijaya@bela-negara.go.id,2025-04-13,hadir,60,78
P0102,Eko Susanto,Perempuan,1992-02-22,UK08,Pusdatin,Jakarta,08542990334,eko.susanto@bela-negara.go.id,2025-04-27,,41,60
P0027,eko handayani,Laki-laki,11-08-1986,UK07,Balai Diklat Wilayah 3,Makassar,08585668371,eko.handayani@bela-negara.go.id,2025-02-16,HADIR,74,75
P0034,  AHMAD WULANDARI  ,L,28 November 1984,UK01,Dit. Bina Potensi Bela Negara,Jakarta,08115770422,ahmad.wulandari@bela-negara.go.id,09/01/2025,Hadir,44,69
P0115,Indra Handayani,Laki-laki,19 November 1985,UK07,Balai Diklat Wilayah 3,Makassar,08895955645,indra.handayani@bela-negara.go.id,2025-03-13,HADIR,64,84
P0087,Putri Purnomo,Laki-laki,17 Juli 1982,UK08,Pusat Data dan Informasi,Jakarta,+628376920597,putri.purnomo@bela-negara.go.id,2025-08-10,,46,73
P0128,Indra Setiawan,P,17/09/1995,UK08,PUSAT DATA DAN INFORMASI,Jakarta,08447154919,indra.setiawan@bela-negara.go.id,2025-08-18,Tidak Hadir,46,61
P0095,Gita Nugroho,Perempuan,11-05-1986,UK08,PUSAT DATA DAN INFORMASI,Jakarta,08214896008,gita.nugroho@bela-negara.go.id,2025-03-14,Hadir,65,96
P0073,Joko Ramadhan,P,03/01/1999,UK08,Pusdatin,Jakarta,08299854536,joko.ramadhan@bela-negara.go.id,2025-02-02,Tidak Hadir,69,73
P0124,Sari Susanto,P,21 Maret 1985,UK07,balai diklat bela negara wilayah iii,Makassar,08884310554,,07/04/2025,,44,50
P0074,Farhan Ramadhan,L,14/05/1984,UK04,Kantor Wil. Bela Negara Sumatera,Medan,08407988844,farhan.ramadhan@bela-negara.go.id,2025-06-03,Tidak Hadir,70,71
P0094,Gunawan Kusuma,Laki-laki,1983-10-24,UK05,Kantor Wilayah Bela Negara Kalimantan,Balikpapan,08959909397,gunawan.kusuma@bela-negara.go.id,23/06/2025,Hadir,48,48
P0066,Tono Wulandari,p,07-11-1998,UK01,DIREKTORAT BINA POTENSI BELA NEGARA,Jakarta,08743531028,tono.wulandari@bela-negara.go.id,2025-06-23,hadir,51,53
P0090,Rian Purnomo,p,11/06/1980,UK05,Kanwil Kalimantan ,Balikpapan,08846161977,rian.purnomo@bela-negara.go.id,20/01/2025,Hadir,54,57
P0025,Eko Setiawan,P,11 Juli 1993,UK04,Kantor Wilayah Bela Negara Sumatera,Medan,08368048838,eko.setiawan@bela-negara.go.id,28/01/2025,Tidak Hadir,40,62
P0004,Fitri Wulandari,P,1988-11-23,UK08,Pusdatin,Jakarta,08174842788,fitri.wulandari@bela-negara.go.id,07/02/2025,Hadir,71,83
P0098,Maya Setiawan,Laki-laki,19/12/1998,UK06,Setjen,Jakarta,+628564964499,maya.setiawan@bela-negara.go.id,22/07/2025,HADIR,47,65
P0138,Fitri Ramadhan,L,07/05/1980,UK01,Direktorat Bina Potensi Bela Negara,Jakarta,08609499515,fitri.ramadhan@bela-negara.go.id,23/07/2025,Hadir,74,91
P0088,Indra Firmansyah,Laki-laki,1981-10-18,UK01,DIREKTORAT BINA POTENSI BELA NEGARA,Jakarta,08462233658,indra.firmansyah@bela-negara.go.id,2025-02-05,Tidak Hadir,63,84
P0053,  DEWI HANDAYANI  ,P,1990-04-05,UK01,Direktorat Bina Potensi Bela Negara,Jakarta,08804475523,dewi.handayani@bela-negara.go.id,2025-03-26,Hadir,49,57
P0055,oki purnomo,l,01/11/1994,UK01,Dit. Bina Potensi Bela Negara,Jakarta,08618151684,oki.purnomo@bela-negara.go.id,03/02/2025,hadir,49,53
P0054,  BELLA NUGROHO  ,L,,UK03,Balai Diklat Bela Negara Wilayah II,Surabaya,08431879109,bella.nugroho@bela-negara.go.id,16/02/2025,,63,95
P0014,Eko Hidayat,L,04/10/1999,UK01,DIREKTORAT BINA POTENSI BELA NEGARA,Jakarta,08745449324,,12/04/2025,Hadir,68,87
P0071,Tono Handayani,Laki-laki,1996-07-06,UK07,balai diklat bela negara wilayah iii,Makassar,+628275194357,tono.handayani@bela-negara.go.id,2025-02-23,Hadir,45,55
P0146,Zainal Permata,Laki-laki,25/03/1986,UK04,Kantor Wilayah Bela Negara Sumatera,Medan,08318542478,zainal.permata@bela-negara.go.id,15/04/2025,Tidak Hadir,56,63
P0148,  DEWI LESTARI  ,L,12/07/1986,UK04,Kantor Wilayah Bela Negara Sumatera,Medan,+628432258076,dewi.lestari@bela-negara.go.id,2025-08-26,Hadir,61,68
P0143,  JOKO PERMATA  ,Perempuan,19-05-1986,UK01,Dit. Bina Potensi Bela Negara,Jakarta,08418783398,joko.permata@bela-negara.go.id,2025-04-24,Hadir,40,
P0050,Bella Wulandari,Perempuan,15-02-1997,UK01,Dit. Bina Potensi Bela Negara,Jakarta,08965398338,bella.wulandari@bela-negara.go.id,2025-02-22,Tidak Hadir,41,76
P0117,Maya Pratama,l,22 Maret 1996,UK04,Kantor Wil. Bela Negara Sumatera,Medan,08446052144,maya.pratama@bela-negara.go.id,14/05/2025,Tidak Hadir,44,67
